cName,cType,每秒字节数,服务器地理位置,客户端地理位置,客户端端口,服务器,客户端,请求字节数,响应时间,请求接收端,客户端网段,请求发起端,开始时间
="117-149-139-169x6814xmapsystm.icbc.com.cn",="1(A)",="324.00 Bps",="中国",="中国",="59473",="2409:871E:8200:4::FFFB",="2409:8028:2003:8000::3A",="136.00 B",="963.63us",="2409:871E:8200:4::FFFB",="未知网段",="2409:8028:2003:8000::3A",="2022-10-22 18:22:32.489305014"
="112-67-249-81x4863xmapsystm.icbc.com.cn",="1(A)",="332.00 Bps",="中国",="中国",="54229",="2409:871E:8200:4::FFFB",="240E:42:C000:10:0:1:107:103",="146.00 B",="988.88us",="2409:871E:8200:4::FFFB",="未知网段",="240E:42:C000:10:0:1:107:103",="2022-10-22 18:22:27.941490996"
="2408:873c:4810:6:0:0:0:222x1529xmapsystm.icbc.com.cn",="1(A)",="346.00 Bps",="中国",="中国",="50891",="2409:871E:8200:4::FFFB",="2409:8020:2000:223::B",="147.00 B",="805.76us",="2409:871E:8200:4::FFFB",="未知网段",="2409:8020:2000:223::B",="2022-10-22 18:22:22.049498805"
="2408:873c:4810:6:0:0:0:222x1907xmapsystm.icbc.com.cn",="1(A)",="346.00 Bps",="中国",="中国",="48117",="2409:871E:8200:4::FFFB",="2409:8020:2000:223::9",="147.00 B",="865.85us",="2409:871E:8200:4::FFFB",="未知网段",="2409:8020:2000:223::9",="2022-10-22 18:22:19.482334894"
="112-67-249-81x8635xmapsystm.icbc.com.cn",="1(A)",="320.00 Bps",="中国",="中国",="40414",="2409:871E:8200:4::FFFB",="240E:42:C000:10:0:1:108:103",="134.00 B",="1.25ms",="2409:871E:8200:4::FFFB",="未知网段",="240E:42:C000:10:0:1:108:103",="2022-10-22 18:22:18.735908169"
="2408:873c:4810:6:0:0:0:222x6633xmapsystm.icbc.com.cn",="1(A)",="346.00 Bps",="中国",="中国",="51762",="2409:871E:8200:4::FFFB",="2409:8020:2000:223::A",="147.00 B",="839.89us",="2409:871E:8200:4::FFFB",="未知网段",="2409:8020:2000:223::A",="2022-10-22 18:22:17.017190090"
="123-187-31-140x1319xmapsystm.icbc.com.cn",="1(A)",="322.00 Bps",="中国",="中国",="39641",="2409:871E:8200:4::FFFB",="240E:41:C000:5::6",="135.00 B",="864.91us",="2409:871E:8200:4::FFFB",="未知网段",="240E:41:C000:5::6",="2022-10-22 18:22:16.528683232"
="2409:8c20:bea1:1:1:0:0:a4x9892xmapsystm.icbc.com.cn",="1(A)",="344.00 Bps",="中国",="中国",="36231",="2409:871E:8200:4::FFFB",="2409:8020:2000:824::B",="146.00 B",="844.95us",="2409:871E:8200:4::FFFB",="未知网段",="2409:8020:2000:824::B",="2022-10-22 18:21:46.757610858"
="2409:8c20:bea1:1:1:0:0:a4x6036xmapsystm.icbc.com.cn",="1(A)",="344.00 Bps",="中国",="中国",="34562",="2409:871E:8200:4::FFFB",="2409:8020:2000:824::A",="146.00 B",="950.17us",="2409:871E:8200:4::FFFB",="未知网段",="2409:8020:2000:824::A",="2022-10-22 18:21:29.427687544"
="2408:8773:8000:8:0:1:0:c9x7749xmapsystm.icbc.com.cn",="1(A)",="344.00 Bps",="中国",="中国",="10046",="2409:871E:8200:4::FFFB",="2408:8001:B013::200D",="146.00 B",="947.72us",="2409:871E:8200:4::FFFB",="未知网段",="2408:8001:B013::200D",="2022-10-22 18:21:27.353720578"
="2408:8773:8000:8:0:1:0:c9x7749xmapsystm.icbc.com.cn",="1(A)",="344.00 Bps",="中国",="中国",="15214",="2409:871E:8200:4::FFFB",="2408:8001:B013::200D",="146.00 B",="1.09ms",="2409:871E:8200:4::FFFB",="未知网段",="2408:8001:B013::200D",="2022-10-22 18:21:26.977837212"
="111-7-109-104x4305xmapsystm.icbc.com.cn",="1(A)",="320.00 Bps",="中国",="中国",="49479",="2409:871E:8200:4::FFFB",="2409:8088:2000:400::124",="134.00 B",="824.16us",="2409:871E:8200:4::FFFB",="未知网段",="2409:8088:2000:400::124",="2022-10-22 18:20:44.873328654"
